host_response_rate,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,rating
95,85,49.27832,-123.12194,4,1.0,2.0,151.0,1,303,87.0
100,70,49.2693,-123.15204,1,1.0,1.0,49.0,2,122,96.0
100,20,49.26746,-123.12785,4,2.0,2.0,249.0,5,6,100.0
90,62,49.26514,-123.16635,6,3.0,3.0,395.0,3,36,100.0
100,100,49.27563,-123.08911,6,2.0,2.0,349.0,30,37,98.0
100,70,49.22013,-123.09624,16,5.0,9.0,320.0,1,243,89.0
100,30,49.27842,-123.133,2,1.0,1.0,67.0,30,83,93.0
100,100,49.26686,-123.09706,2,1.0,0.0,195.0,7,19,91.0
100,100,49.2559,-123.18094,3,1.0,3.0,98.0,30,22,95.0
100,100,49.28426,-123.02832,3,1.0,2.0,169.0,2,69,99.0
0,0,49.24679,-123.08347,5,2.0,2.0,105.0,31,59,99.0
100,86,49.2524,-123.10314,10,4.0,6.0,291.0,3,65,97.0
80,79,49.23383,-123.04672,2,1.0,1.0,60.0,30,41,96.0
93,36,49.27777,-123.11919,2,1.0,1.0,79.0,30,4,90.0
100,97,49.28185,-123.10456,2,1.0,1.0,192.0,1,528,99.0
100,94,49.22239,-123.03277,4,1.0,3.0,78.0,1,16,98.0
92,94,49.25979,-123.11194,2,1.0,1.0,65.0,1,299,96.0
100,83,49.21311,-123.11348,1,1.0,1.0,34.0,31,49,93.0
100,100,49.28253,-123.0918,2,1.0,1.0,118.0,1,145,97.0
100,67,49.26443,-123.09925,2,1.0,1.0,85.0,2,23,90.0
100,80,49.26559,-123.14014,4,1.0,1.0,376.0,2,45,96.0
100,50,49.24672,-123.09614,5,3.0,4.0,350.0,7,14,100.0
100,83,49.21306,-123.11307,1,1.0,0.0,34.0,31,60,92.0
100,83,49.21295,-123.11193,2,1.0,1.0,45.0,31,53,96.0
100,83,49.21231,-123.11193,2,1.0,1.0,46.0,31,48,92.0
100,83,49.21121,-123.11208,1,1.0,1.0,37.0,31,31,94.0
100,83,49.21285,-123.11361,6,2.0,3.0,100.0,31,99,96.0
100,95,49.25458,-123.09297,2,1.0,1.0,55.0,2,67,92.0
100,0,49.27783,-123.11536,3,2.0,2.0,170.0,60,3,100.0
100,68,49.25243,-123.0691,1,1.0,1.0,38.0,30,46,99.0
100,100,49.27483,-123.11601,4,2.0,2.0,135.0,30,22,99.0
90,88,49.24963,-123.07277,2,1.0,1.0,69.0,1,135,93.0
100,100,49.27604,-123.0988,4,1.0,1.0,102.0,2,80,98.0
100,95,49.27465,-123.15155,7,4.0,4.0,398.0,7,5,96.0
100,100,49.2756,-123.11176,4,2.0,2.0,295.0,30,11,96.0
100,100,49.2732,-123.12485,4,2.0,2.0,245.0,30,91,98.0
100,91,49.25904,-123.12737,4,1.0,1.0,120.0,3,53,99.0
100,67,49.26132,-123.08084,3,1.0,1.0,110.0,14,77,95.0
90,77,49.27895,-123.12466,4,2.0,3.0,97.0,3,65,89.0
100,90,49.25521,-123.11131,2,1.0,1.0,65.0,30,30,98.0
100,81,49.2581,-123.05409,2,1.0,2.0,58.0,10,33,98.0
100,88,49.27237,-123.18102,2,2.0,3.0,300.0,3,32,100.0
100,64,49.27207,-123.15573,2,2.0,2.0,199.0,60,35,94.0
100,85,49.22846,-123.09686,5,2.0,3.0,120.0,6,96,98.0
0,50,49.25203,-123.08339,2,1.0,1.0,41.0,2,93,95.0
100,50,49.24984,-123.11016,2,1.0,0.0,55.0,7,93,95.0
100,95,49.25945,-123.09143,4,2.0,2.0,105.0,2,213,96.0
100,81,49.25735,-123.05444,3,1.0,2.0,64.0,7,68,95.0
100,100,49.25568,-123.11845,1,1.0,1.0,85.0,30,1,100.0
100,81,49.25754,-123.05546,1,1.0,1.0,54.0,10,37,97.0
100,86,49.28033,-123.1008,3,1.0,1.0,95.0,30,10,96.0
100,85,49.28295,-123.12323,3,2.0,2.0,140.0,30,32,99.0
100,75,49.27098,-123.16064,2,1.0,0.0,132.0,30,19,80.0
70,100,49.26672,-123.16668,2,1.0,1.0,162.0,1,6,100.0
100,96,49.26587,-123.0999,5,1.0,2.0,139.0,1,31,96.0
100,95,49.27874,-123.12306,4,1.0,2.0,142.0,1,164,98.0
100,100,49.28377,-123.1061,2,1.0,1.0,178.0,90,21,100.0
100,100,49.21055,-123.14073,6,2.0,2.0,120.0,30,60,91.0
100,100,49.20925,-123.14259,6,2.0,2.0,120.0,30,56,92.0
100,100,49.25614,-123.11331,4,2.0,2.0,109.0,30,62,99.0
100,77,49.25956,-123.15474,3,1.0,1.0,195.0,2,1,100.0
100,100,49.27269,-123.15382,4,1.0,2.0,95.0,30,29,89.0
60,78,49.28847,-123.01739,4,1.0,1.0,69.0,1,70,87.0
100,100,49.27541,-123.04736,2,1.0,1.0,95.0,30,28,99.0
100,100,49.25291,-123.11915,4,2.0,2.0,87.0,1,163,94.0
100,100,49.28301,-123.12357,6,2.0,3.0,196.0,30,60,99.0
100,100,49.20777,-123.14613,4,1.0,2.0,85.0,5,56,97.0
100,98,49.27036,-123.06444,6,1.0,2.0,129.0,3,79,99.0
100,75,49.27095,-123.17749,2,1.0,1.0,250.0,5,48,100.0
100,90,49.28593,-123.11571,3,1.0,2.0,153.0,1,56,96.0
